Drug.Name,Synonyms,ChEMBL ID,IDs,referenced_datasets,MOA,repurposing_target,Indication,Disease Area,Phase(RepHub),merge_issues,Type,Phase(ChEMBL),Inchi Key,SMILES
BDF00016096,AOB2221;BDF00016096,,GDSC1:1530;GDSC2:1620,gdsc,,,,,,,,NA,,
TEMSIROLIMUS,AY-22989;CCI-779;TEMSIROLIMUS,CHEMBL1201182;CHEMBL413,BRD:BRD-BRD-K42898655-001-01-8;BRD:BRD-K42898655-001-01-8;CTRP:660358;GDSC1:1016;GDSC1:3;GDSC2:1084,ctrp;gdsc;rep_multi_dose;rep_primary;rep_single_dose,MTOR INHIBITOR,MTOR,RENAL CELL CARCINOMA (RCC),,LAUNCHED,,Small molecule,Approved,CBPNZQVSJQDFBE-FUXHJELOSA-N;QFJCIRLUMZQUOT-HPLJOQBZSA-N,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@@H]1OC(=O)C(C)(CO)CO;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
PFI3,PFI 3;PFI3,,GDSC2:1620,gdsc,,,,,,,,NA,,
WY-090217,RAPAMUNE;RAPAMYCIN;SIROLIMUS;WY-090217,CHEMBL2107380;CHEMBL413,BRD:BRD-A79768653-001-12-0;BRD:BRD-BRD-A79768653-001-12-0;BRD:BRD-BRD-K84937637-001-09-9;BRD:BRD-K84937637-001-09-9;CTRP:56703;GDSC1:3;GDSC2:1084,ctrp;gdsc;rep_multi_dose;rep_primary;rep_single_dose,MTOR INHIBITOR,FGF2;FKBP1A;MTOR,"ORGAN REJECTION, LYMPHANGIOLEIOMYOMATOSIS",,LAUNCHED,,Small molecule,Approved,QFJCIRLUMZQUOT-HPLJOQBZSA-N;YYSFXUWWPNHNAZ-PKJQJFMNSA-N,CCOCCO[C@@H]1CC[C@@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC;CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;COC1CC(CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)\C=C\C=C\C=C(C)\C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1O
(+)-CAMPTOTHECIN,(+)-CAMPTOTHECIN,,GDSC2:1003,gdsc,,,,,,,,NA,,
(+)-IRINOTECAN,(+)-IRINOTECAN,,GDSC2:1088,gdsc,,,,,,,,NA,,
(+)-JQ-1,(+)-JQ-1,,GDSC1:1218;GDSC1:163;GDSC2:2172,gdsc,,,,,,,,NA,,
(5Z)-7-OXOZEAENOL,(5Z)-7-OXOZEAENOL,,GDSC1:1242,gdsc,,,,,,,,NA,,
R(-)-APOMORPHINE,(R)-(-)-APOMORPHINE;R(-)-APOMORPHINE,,BRD:BRD-BRD-K76022557-003-02-7;BRD:BRD-K76022557-003-02-7,rep_primary;rep_single_dose,DOPAMINE RECEPTOR AGONIST,ADRA2A;ADRA2B;ADRA2C;CALY;DRD1;DRD2;DRD3;DRD4;DRD5;HTR1A;HTR1B;HTR1D;HTR2A;HTR2B;HTR2C;HTR5A,PARKINSON'S DISEASE,,LAUNCHED,"Multiple values for repurposing_target: {'ADRA2A;ADRA2B;ADRA2C;CALY;DRD1;DRD2;DRD3;DRD4;DRD5;HTR1A;HTR1B;HTR1D;HTR2A;HTR2B;HTR2C;HTR5A', 'DRD2;HTR5A'}, taking the union",,NA,,CN1CCC2CCCC-3C2[C@H]1CC1CCC(O)C(O)C-31;CN1CCC2CCCC-3C2C1CC1CCC(O)C(O)C-31
ROLIPRAM-R(-),(R)-(-)-ROLIPRAM;ROLIPRAM-R(-),,BRD:BRD-BRD-K75516118-001-03-3;BRD:BRD-K75516118-001-03-3,rep_primary;rep_single_dose,PHOSPHODIESTERASE INHIBITOR,PDE4A;PDE4B;PDE4C;PDE4D;PDE5A,,,PRECLINICAL,,,NA,,COC1CCC(CC1OC1CCCC1)[C@@H]1CNC(=O)C1
